prices_paid_to_growers,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,1.534724062,1.481790287,1.204655629,1.106476821,1.898326711,2.19918543,2.065245033,2.939673289,2.253432671,1.906905077,1.654717439,1.279260486,1.160417219,1.067174393,1.342880795,1.969567329,1.982523179,2.208686534,2.521432671,3.067441501,3.985615894,5.29086755,3.679737307,2.514538631,3.525662252,2.635854305,2.727529801,2.77618543,2.505913907
Dominican Republic,1.45816777,1.382845475,1.02784106,1.172704194,2.478233996,2.412,1.935342163,3.673587196,2.102615894,1.637609272,1.501384106,0.92801766,1.12205298,1.094304636,1.671004415,1.940741722,1.904949227,1.923362031,2.239532009,2.340730684,3.071275938,4.217812362,3.262838852,3.112083885,4.052172185,3.775011038,3.911395143,3.82697351,3.39105298
El Salvador,1.11619426,0.983322296,0.682322296,0.780397351,2.1911766,2.218825607,1.656072848,2.762551876,1.877384106,1.256562914,0.983403974,0.38915011,0.482048565,0.567083885,0.867635762,1.481169978,1.48990287,1.6608234,1.899582781,1.748205298,2.425620309,4.122256071,2.651657837,2.103275938,2.58292936,1.930439294,1.976441501,1.93415894,1.645300221
Guatemala,1.20495585,1.270086093,0.888099338,0.914551876,1.662710817,2.192935982,1.849169978,2.146818985,2.261520971,1.749169978,1.553525386,1.000997792,1.095178808,1.068966887,1.477039735,2.041152318,2.013128035,2.170242826,2.450962472,2.420375276,3.195830022,4.689066225,3.664006623,2.804847682,3.373810155,3.073229581,2.990443709,2.960790287,2.697022075
Honduras,1.111470199,1.23894702,0.886057395,0.828746137,1.800576159,2.263781457,1.493615894,2.580165563,2.058671082,1.357189845,1.198388521,0.757562914,0.818013245,0.920803532,1.108664459,1.73707064,1.78402649,1.802030905,1.99904415,1.848015453,2.762887417,4.415430464,3.11584106,2.24715894,2.625613687,2.449565121,2.056690949,2.003671082,1.855291391
India,1.473558499,1.358370861,1.19115894,1.278668874,1.730810155,1.870103753,1.728880795,2.873697572,2.19588521,1.488690949,1.407187638,0.967289183,0.874381898,0.959169978,1.287401766,2.13080574,2.116189845,2.384781457,2.686441501,3.021792494,3.335050773,5.043229581,3.575633554,2.584011038,3.877463576,3.467918322,2.918461369,2.996743929,2.430896247
Uganda,0.337598234,0.654322296,0.441397351,0.552298013,1.666651214,1.506821192,1.169927152,1.772935982,1.738302428,1.027889625,0.90503532,0.607178808,0.607448124,0.632236203,0.794423841,1.277247241,1.221573951,1.43503532,1.618501104,1.336532009,1.925611479,3.245622517,2.068039735,1.545905077,2.289245033,1.794041943,1.569419426,1.699697572,1.506690949
Brazil,1.968507726,1.57809713,1.606922737,1.951900662,4.414896247,4.702487859,3.667211921,4.928593819,4.039655629,2.891682119,2.373163355,1.24504415,1.123677704,1.64305298,2.012772627,2.948271523,3.290205298,3.912503311,4.433450331,3.845975717,4.596311258,7.274918322,5.666501104,4.137397351,4.765134658,3.929657837,4.428439294,4.606779249,3.492306843
Ethiopia,1.348565121,1.505322296,1.351128035,1.362441501,2.418233996,2.539011038,1.495286976,2.010059603,2.027900662,1.449112583,1.245496689,0.966434879,0.593335541,0.7630883,1.078392936,1.417827815,1.287355408,1.541479029,1.583004415,1.70115011,1.886529801,3.2110883,2.2690883,1.618110375,1.837430464,1.678359823,1.927315673,1.799278146,1.560233996
India,0.97892053,0.897289183,0.877944812,0.9759117,1.246437086,1.468721854,1.251075055,1.684362031,1.669311258,1.271690949,0.791900662,0.517432671,0.487364238,0.631331126,0.67980574,1.15711479,1.354353201,1.752322296,2.121783664,1.614300221,1.720953642,2.419479029,2.310181015,2.094377483,2.309801325,1.941467991,1.825871965,2.096423841,1.732518764
Togo,0.645267108,0.632306843,0.658494481,0.499856512,0.573783664,1.355618102,1.381452539,0.99086755,1.102214128,0.954116998,0.505880795,0.338116998,0.403225166,0.502560706,0.483587196,0.616242826,0.987119205,1.252147903,1.698362031,0.986980132,0.934988962,1.636710817,1.512094923,1.469379691,1.3219117,1.314624724,1.451041943,1.517220751,1.565730684
Uganda,0.166485651,0.261430464,0.197653422,0.259737307,0.919708609,1.319927152,0.826408389,0.920245033,0.883454746,0.695710817,0.439807947,0.233304636,0.282203091,0.459348786,0.579743929,0.901172185,1.037951435,1.233479029,1.569415011,1.082366446,1.227615894,1.623302428,1.585092715,1.494598234,1.549218543,1.329269316,1.311532009,1.411807947,1.263373068
Viet Nam,0.813945704,0.677479726,0.677038802,0.761255286,1.896193662,2.098357316,1.265892804,1.237673668,1.452183194,1.11774234,0.58532661,0.333338544,0.399918068,0.615970828,0.5732012,0.79145858,1.2015179,1.568366668,1.96541873,1.444467024,1.481063716,2.173093934,3.801646728,1.989228626,,,,,
